Keyword,Volume,Keyword Difficulty
Akbar,8100,63
Mother Teresa,5400,62
Nikola Tesla,5400,64
Aristotle,6600,80
Mahatma Gandhi,5400,66
Rumi,5400,67
Abraham Lincoln,6600,83
Leonardo da Vinci,5400,79
William Wordsworth,3600,53
Ibn Khaldun,2900,44
Helen Keller,4400,69
Thomas Edison,4400,73
Osman I,3600,60
William Shakespeare,4400,74
Winston Churchill,3600,68
Marie Curie,3600,77
Audrey Hepburn,2900,64
Benjamin Franklin,2900,65
Ibn Battuta,2900,66
Charles Dickens,2900,67
Pablo Picasso,2900,69
Fyodor Dostoevsky,2400,59
Oscar Wilde,2400,61
Jane Austen,2900,75
Anne Frank,2900,77
George Washington,2900,77
Edgar Allan Poe,2400,67
Michelangelo,2400,69
Stan Lee,2400,69
Robert Frost,2400,70
Vincent van Gogh,2400,71
Ashoka,2400,73
Virginia Woolf,1900,59
Florence Nightingale,1900,63
Louis Pasteur,1900,63
Frida Kahlo,1900,67
Mark Twain,1900,69
Bertrand Russell,1900,71
Confucius,1900,74
George Orwell,1600,63
Rabindranath Tagore,1600,63
Alan Turing,1900,75
Coco Chanel,1600,65
Carl Jung,1600,65
Hippocrates,1600,66
Charles Darwin,1600,67
Anne Boleyn,1600,67
Stanley Kubrick,1300,59
John Lennon,1600,76
Alexander Graham Bell,1300,62
Richard Feynman,1300,66
Niels Bohr,1300,66
Sun Tzu,1300,72
Immanuel Kant,1300,73
Galileo Galilei,1300,74
Ahmed I,720,41
Socrates,1300,77
Thomas Jefferson,1300,79
Averroes,1000,61
Auguste Comte,880,55
Emily Dickinson,1000,63
Murad IV,880,56
Henry Ford,1300,84
Maria Montessori,880,61
Alexander Fleming,1000,71
Rosa Parks,1000,72
Robert Hooke,720,53
Martin Luther,1000,75
James Joyce,720,55
Maya Angelou,1000,78
Michel Foucault,880,69
Simone de Beauvoir,720,58
Ada Lovelace,880,71
Isaac,1000,83
Claude Monet,720,65
Democritus,720,67
Max Planck,720,67
Alfred Hitchcock,720,68
Henrik Ibsen,590,57
Howard Hughes,590,58
Ralph Waldo Emerson,720,71
Aldous Huxley,590,59
Daniel Defoe,480,48
Lord Byron,590,61
Gregor Mendel,590,61
Thucydides,590,65
Karl Benz,390,44
Euripides,390,51
Sappho,480,63
Robin Williams,4400,63
Hal Finney,90,40
Ram Dass,10,67
Marlene Dietrich,49500,65
Piet Mondrian,18100,71
Wassily Kandinsky,14800,68
Pope Pius XII,6600,68
Pope John Paul I,5400,71
Guglielmo Marconi,3600,71
Pierre Curie,3600,56
Louis XIII of France,1300,60
